species	genomes
achromobacter_xylosoxidans	7
acidovorax_sp	6
acinetobacter_indicus	14
acinetobacter_nosocomialis	9
acinetobacter_pittii	16
acinetobacter_schindleri	6
acinetobacter_sp	20
actinobacillus_pleuropneumoniae	6
actinomyces_sp	9
aeromonas_hydrophila	25
aeromonas_salmonicida	14
aeromonas_sp	8
aeromonas_veronii	12
aggregatibacter_actinomycetemcomitans	10
akkermansia_muciniphila	26
alteromonas_mediterranea	15
alteromonas_sp	6
arthrobacter_sp	18
avibacterium_paragallinarum	9
azoarcus_sp	7
azospirillum_brasilense	7
azospirillum_sp	6
bacillus_altitudinis	11
bacillus_amyloliquefaciens	35
bacillus_anthracis	59
bacillus_cereus	59
bacillus_coagulans	9
bacillus_cytotoxicus	11
bacillus_licheniformis	28
bacillus_megaterium	6
bacillus_paralicheniformis	9
bacillus_safensis	6
bacillus_sp	54
bacillus_velezensis	116
bacteroides_fragilis	14
bartonella_sp	6
bifidobacterium_longum	27
blattabacterium_punctulatus	10
blattabacterium_sp	8
bordetella_hinzii	11
bordetella_holmesii	63
borrelia_miyamotoi	11
borreliella_burgdorferi	10
bosea_sp	6
bradyrhizobium_diazoefficiens	7
bradyrhizobium_sp	16
brevibacterium_aurantiacum	6
brevundimonas_sp	8
brucella_canis	8
brucella_sp	6
brucella_suis	16
buchnera_aphidicola	29
burkholderia_cenocepacia	18
burkholderia_multivorans	14
burkholderia_sp	22
burkholderia_thailandensis	22
burkholderia_ubonensis	6
burkholderia_vietnamiensis	6
calothrix_sp	7
campylobacter_coli	31
campylobacter_fetus	9
campylobacter_jejuni	166
campylobacter_lari	9
campylobacter_sp	15
candidatus_carsonella	7
candidatus_kinetoplastibacterium	8
candidatus_liberibacter	8
candidatus_planktophila	13
candidatus_portiera	8
candidatus_saccharibacteria	8
candidatus_sulcia	25
capnocytophaga_sp	6
caulobacter_vibrioides	6
chlamydia_muridarum	20
chlamydia_psittaci	22
chlamydia_trachomatis	83
chryseobacterium_sp	16
citrobacter_portucalensis	6
citrobacter_sp	15
clostridium_sp	8
colwellia_sp	6
corynebacterium_sp	9
corynebacterium_ulcerans	14
coxiella_burnetii	12
dehalococcoides_mccartyi	24
dickeya_solani	6
ehrlichia_chaffeensis	8
elizabethkingia_anophelis	21
endosymbiont_of	7
enterobacter_asburiae	9
enterobacter_hormaechei	60
enterobacter_kobei	6
enterobacter_ludwigii	9
enterobacter_roggenkampii	8
enterobacter_sp	14
enterobacteriaceae_bacterium	6
enterococcus_faecalis	41
enterococcus_faecium	87
escherichia_albertii	14
flavobacterium_columnare	6
flavobacterium_psychrophilum	9
flavobacterium_sp	6
francisella_noatunensis	23
fusobacterium_nucleatum	14
fusobacterium_pseudoperiodonticum	9
geobacillus_sp	7
glaesserella_parasuis	14
granulibacter_bethesdensis	10
haemophilus_ducreyi	13
haemophilus_influenzae	56
halomonas_sp	14
helicobacter_cinaedi	6
helicobacter_pylori	157
histophilus_somni	21
hydrogenophaga_sp	6
hymenobacter_sp	11
janthinobacterium_sp	6
klebsiella_michiganensis	14
klebsiella_quasipneumoniae	22
klebsiella_sp	7
klebsiella_variicola	20
labrenzia_sp	8
lactobacillus_iners	7
lactobacillus_johnsonii	12
lactobacillus_rhamnosus	20
lactobacillus_sp	8
lactococcus_lactis	38
lactococcus_raffinolactis	6
leclercia_adecarboxylata	11
leclercia_sp	8
leptospira_borgpetersenii	6
leptospira_interrogans	16
leuconostoc_mesenteroides	19
mannheimia_haemolytica	83
marinobacter_sp	8
mesorhizobium_japonicum	6
mesorhizobium_sp	13
methylobacterium_sp	10
microbacterium_sp	16
micrococcus_luteus	10
microcystis_aeruginosa	6
moraxella_bovoculi	7
moraxella_osloensis	8
mycobacterium_chimaera	9
mycobacterium_sp	10
mycobacteroides_abscessus	34
myxococcus_xanthus	7
nocardioides_sp	13
nostoc_sp	8
oblitimonas_alkaliphila	6
paenibacillus_sp	25
pandoraea_pnomenusa	7
pantoea_vagans	6
pasteurella_multocida	61
pectobacterium_parmentieri	12
pediococcus_acidilactici	15
pediococcus_pentosaceus	15
phaeobacter_gallaeciensis	8
phaeobacter_inhibens	22
phaeobacter_piscinae	7
piscirickettsia_salmonis	78
planctomycetes_bacterium	26
porphyromonas_gingivalis	21
prochlorococcus_marinus	10
pseudoalteromonas_sp	11
pseudomonas_brassicacearum	6
pseudomonas_chlororaphis	44
pseudomonas_monteilii	8
pseudomonas_protegens	10
pseudomonas_sp	100
pseudomonas_synxantha	6
pseudonocardia_sp	6
psychrobacter_sp	7
rahnella_aquatilis	6
raoultella_ornithinolytica	10
rhizobium_sp	24
rhodobacter_sphaeroides	10
rhodococcus_sp	24
rhodopseudomonas_palustris	9
rickettsia_japonica	14
rickettsia_prowazekii	10
rickettsia_rickettsii	11
riemerella_anatipestifer	10
salinibacter_ruber	8
